stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
DHB,1.6,1.6,9.7,1.3,1.5,1061,3%,66%,0,201,0%,272200000,436
DHC,44,20.6,49.5,27.1,18.9,2329,6%,11%,0.46,77590,0.56%,34459769,1516
DHD,36,34.1,45,17,33.1,1088,10%,20%,0,2241,0.08%,6000000,216
DHG,112.3,21.1,126.2,84.7,22.9,4914,16%,23%,0.79,305686,0.90%,130735941,14683
DHM,3.1,11.7,10.3,2.8,14.5,211,1%,2%,0.96,109693,1.03%,25143123,77
DHP,11.5,16.0,12,8.6,9,1274,6%,8%,0.24,5210,0.12%,9492200,109
DHT,65.9,20.2,84.5,41.8,11.9,5536,12%,30%,0.03,33660,0.58%,12563691,828
DIC,5.4,11.2,7.1,5.5,9.1,588,1%,5%,0.06,37985,0.34%,26585840,143
DTK,14,10.5,14,14,16.2,862,2%,8%,0,1,0%,680000000,9520
DTL,53.5,19.8,55.4,17.1,15.7,3405,8%,17%,0.59,1566,0.01%,58207764,3287
DTN,3,0,7.5,3,0,0,3%,6%,0,950,0.09%,2200000,7
GDT,45.7,17.2,58.9,45.5,6.7,6782,29%,39%,0.11,13133,0.19%,14899800,681
DAR,11.2,0,18.2,3.3,0,0,3%,9%,0,30,0%,6500000,73
DAS,4,12.1,4,2.2,0,0,2%,3%,0,11,0%,4200000,17
DAT,20.9,12.5,36,17,36.2,577,2%,5%,1.58,90,0%,43814920,916
DBC,21.4,30.2,30.2,20.9,8.9,2416,3%,8%,0.47,37807,0.15%,82818465,1772
DBD,49.2,15.9,55.9,35.4,15.7,3138,11%,20%,0,46440,0.24%,52379000,2577
DBH,10,0,10,5.9,0,0,2%,3%,0,48,0%,2200000,22
DBM,29,17.7,32.7,15.6,12.5,2313,7%,12%,0,56,0.01%,2912382,56
DBT,14.5,20.0,16.8,13.2,7.1,2056,4%,11%,0.06,8614,0.15%,12314494,179
DBW,10,10.0,10,10,370.4,27,0%,0%,0,0,0%,39320100,393
DC1,13.1,7.3,16.3,11.5,7.7,1698,10%,55%,0,289,0.04%,1500000,20
DC2,7,12.5,12.8,5.2,5.6,1252,3%,10%,0.66,989,0.08%,2520000,18
DC4,10.8,6.3,12,6.5,21.7,498,2%,8%,0.32,1756,0.07%,14055756,60
DCD,9,10.8,12.5,6.7,37.5,240,4%,5%,0,123,0%,11294323,102
HII,27.3,22.5,38.1,13,6.7,4071,6%,20%,0.15,118752,1.92%,13600000,371
HJC,3,9.2,5.7,2.9,0.9,3360,15%,37%,0,0,0%,12853052,39
HJS,23,13.8,27,15.3,12.3,1870,9%,14%,0.44,5068,0.06%,20999900,483
