title,time,intro,link
"HAGL đặt mục tiêu có lãi ở mảng trái cây, tự trang trải được chi phí ở mảng cao su",2018/04/26,,http://vietnamfinance.vn/hagl-dat-muc-tieu-co-lai-o-mang-trai-cay-tu-trang-trai-duoc-chi-phi-o-mang-cao-su-20180426102945828.htm
"Đạm Phú Mỹ báo lãi trước thuế 201 tỷ đồng quý I/2018, giảm 27% so với cùng kỳ",2018/04/26,,http://vietnamfinance.vn/dam-phu-my-bao-lai-truoc-thue-201-ty-dong-quy-i2018-giam-27-so-voi-cung-ky-20180426085449282.htm
Bộ Kế hoạch và Đầu tư đề xuất tư nhân được vay vốn ODA,2018/04/25,,http://vietnamfinance.vn/bo-ke-hoach-va-dau-tu-de-xuat-tu-nhan-duoc-vay-von-oda-20180425165149846.htm
Hé lộ nhiều bước đi mới của Vingroup trong năm 2018,2018/04/25,,http://vietnamfinance.vn/he-lo-nhieu-buoc-di-moi-cua-vingroup-trong-nam-2018-20180425171344965.htm
"NKG: Giá thép không còn đột biến, lãi sau thuế quý I/2018 giảm 22%",2018/04/25,,http://vietnamfinance.vn/nkg-gia-thep-khong-con-dot-bien-lai-sau-thue-quy-i2018-giam-22-20180425153817803.htm
Vinalines nói gì về việc hạ giá bán tàu Vinalines Sky?,2018/04/25,,http://vietnamfinance.vn/vinalines-noi-gi-ve-viec-ha-gia-ban-tau-vinalines-sky-20180425144358736.htm
"Vi phạm hàng loạt lỗi, KVC bị phạt hành chính 270 triệu đồng",2018/04/25,,http://vietnamfinance.vn/vi-pham-hang-loat-loi-kvc-bi-phat-hanh-chinh-270-trieu-dong-20180425095503551.htm
"PVOil báo lãi 215 tỷ đồng 4 tháng đầu 2018, hoàn thành 63% kế hoạch năm",2018/04/25,,http://vietnamfinance.vn/pvoil-bao-lai-215-ty-dong-4-thang-dau-2018-hoan-thanh-63-ke-hoach-nam-20180425111059069.htm
"Hòa Phát báo doanh thu 13.000 tỷ quý I/2018, tăng 25% so với cùng kỳ 2017",2018/04/25,,http://vietnamfinance.vn/hoa-phat-bao-doanh-thu-13000-ty-quy-i2018-tang-25-so-voi-cung-ky-2017-20180425095915392.htm
2 dự án nhà máy nhiệt điện Nhơn Trạch 3 và Nhơn Trạch 4 chính thức về tay PV Power,2018/04/24,,http://vietnamfinance.vn/2-du-an-nha-may-nhiet-dien-nhon-trach-3-va-nhon-trach-4-chinh-thuc-ve-tay-pv-power-20180424202434596.htm
"3 nhà đầu tư chi gần 571 tỷ đồng mua 1,87 triệu cổ phần của GPBank tại Du lịch Kim Liên",2018/04/24,,http://vietnamfinance.vn/3-nha-dau-tu-chi-gan-571-ty-dong-mua-187-trieu-co-phan-cua-gpbank-tai-du-lich-kim-lien-20180424175018912.htm
"Doanh thu tăng trưởng mạnh, Thuduc House vẫn đặt mục tiêu khiêm tốn",2018/04/24,,http://vietnamfinance.vn/doanh-thu-tang-truong-manh-thuduc-house-van-dat-muc-tieu-khiem-ton-20180424150331999.htm
"Kiểm toán BOT, BT: Giá trị quyết toán giảm 20% so với tổng mức đầu tư",2018/04/23,,http://vietnamfinance.vn/kiem-toan-bot-bt-gia-tri-quyet-toan-giam-20-so-voi-tong-muc-dau-tu-2018042319500829.htm
"SHB: Lợi nhuận quý I đạt 502 tỷ đồng, sẽ đón sóng đầu tư từ các quỹ nước ngoài",2018/04/23,,http://vietnamfinance.vn/shb-loi-nhuan-quy-i-dat-502-ty-dong-se-don-song-dau-tu-tu-cac-quy-nuoc-ngoai-20180423174853628.htm
"Coteccons: Doanh thu, lợi nhuận quý I cùng suy giảm",2018/04/23,,http://vietnamfinance.vn/coteccons-doanh-thu-loi-nhuan-quy-i-cung-suy-giam-20180423122954807.htm
"HBC: Chi phí tài chính, chi phí quản lý ‘ăn mòn’ lợi nhuận quý I/2018",2018/04/23,,http://vietnamfinance.vn/hbc-chi-phi-tai-chinh-chi-phi-quan-ly-an-mon-loi-nhuan-quy-i2018-20180423163425024.htm
Tập đoàn Xây dựng Hòa Bình: Dấu hỏi về tính chắc chắn của doanh thu và chất lượng của tài sản,2018/04/13,,http://vietnamfinance.vn/tap-doan-xay-dung-hoa-binh-dau-hoi-ve-tinh-chac-chan-cua-doanh-thu-va-chat-luong-cua-tai-san-20180413175512807.htm
"Sabeco sắp miễn nhiệm Chủ tịch người Việt, bổ sung 3 thành viên HĐQT người nước ngoài",2018/04/14,,http://vietnamfinance.vn/sabeco-sap-mien-nhiem-chu-tich-nguoi-viet-bo-sung-3-thanh-vien-hdqt-nguoi-nuoc-ngoai-2018041407110447.htm
Đề nghị truy tố các bị can trong vụ án lừa đảo liên quan đến cổ phiếu MTM,2018/04/13,,http://vietnamfinance.vn/de-nghi-truy-to-cac-bi-can-trong-vu-an-lua-dao-lien-quan-den-co-phieu-mtm-20180413163043642.htm
‘Bắt mạch’ hai ông lớn ngành điện Genco 1 và Genco 2 trước thềm cổ phần hóa,2018/04/13,,http://vietnamfinance.vn/bat-mach-hai-ong-lon-nganh-dien-genco-1-va-genco-2-truoc-them-co-phan-hoa-20180413162847025.htm
Đường hồi sinh của 'vua gỗ' Trường Thành,2018/04/13,,http://vietnamfinance.vn/duong-hoi-sinh-cua-vua-go-truong-thanh-2018041313465097.htm
"Lãnh đạo HNX nhận thu nhập 3.100 USD/tháng, nhân viên 1.100 USD/tháng",2018/04/13,,http://vietnamfinance.vn/lanh-dao-hnx-nhan-thu-nhap-3100-usdthang-nhan-vien-1100-usdthang-20180413103556866.htm
"Hơn 63,2 triệu cổ phiếu VGR của CTCP Cảng Xanh VIP lên sàn UPCoM",2018/04/13,,http://vietnamfinance.vn/hon-632-trieu-co-phieu-vgr-cua-ctcp-cang-xanh-vip-len-san-upcom-20180413095725905.htm
"Về tay người Thái, Nhựa Bình Minh dè dặt với kế hoạch kinh doanh 2018",2018/04/13,,http://vietnamfinance.vn/ve-tay-nguoi-thai-nhua-binh-minh-de-dat-voi-ke-hoach-kinh-doanh-2018-20180413082231318.htm
"Lãi trước thuế năm 2017 của Thaco giảm mạnh 36%, còn gần 5.500 tỷ",2018/04/12,,http://vietnamfinance.vn/lai-truoc-thue-nam-2017-cua-thaco-giam-manh-36-con-gan-5500-ty-20180412170839129.htm
"Sau Sabeco, đến lượt Habeco bị truy thu cổ tức?",2018/04/12,,http://vietnamfinance.vn/sau-sabeco-den-luot-habeco-bi-truy-thu-co-tuc-20180412152946791.htm
VAFI: Đòi Sabeco nộp 2.495 tỷ đồng cổ tức là trái Luật Doanh nghiệp,2018/04/12,,http://vietnamfinance.vn/vafi-doi-sabeco-nop-2495-ty-dong-co-tuc-la-trai-luat-doanh-nghiep-20180412121432803.htm
Vissan phải đóng cửa 60 cửa hàng vì hoạt động không hiệu quả,2018/04/12,,http://vietnamfinance.vn/vissan-phai-dong-cua-60-cua-hang-vi-hoat-dong-khong-hieu-qua-20180412083006638.htm
Những ‘con tin’ trong tay bầu Đức,2018/04/12,,http://vietnamfinance.vn/nhung-con-tin-trong-tay-bau-duc-20180412085527913.htm
Thủ tướng ‘lệnh’ 6 Bộ siết chặt quản lý Bitcoin và các loại tiền ảo,2018/04/11,,http://vietnamfinance.vn/thu-tuong-lenh-6-bo-siet-chat-quan-ly-bitcoin-va-cac-loai-tien-ao-20180411180158728.htm
Chuyên gia ADB: Thị trường chứng khoán Việt Nam rất dễ bị tổn thương,2018/04/11,,http://vietnamfinance.vn/chuyen-gia-adb-thi-truong-chung-khoan-viet-nam-rat-de-bi-ton-thuong-20180411165049827.htm
5 dự án vay vốn WB tài khóa 2018: 3 dự án trị giá 363 triệu USD đứng trước nguy cơ đổ bể,2018/04/11,,http://vietnamfinance.vn/5-du-an-vay-von-wb-tai-khoa-2018-3-du-an-tri-gia-363-trieu-usd-dung-truoc-nguy-co-do-be-20180411144340999.htm
"Đấu giá 371 triệu quyền mua cổ phiếu Vietnam Airlines, Bộ GTVT dự thu hơn 2.200 tỷ",2018/04/11,,http://vietnamfinance.vn/dau-gia-371-trieu-quyen-mua-co-phieu-vietnam-airlines-bo-gtvt-du-thu-hon-2200-ty-20180411105604027.htm
"Lãi trước thuế năm 2017 của Vingroup tăng 215 tỷ sau kiểm toán, đạt 5.655 tỷ đồng",2018/04/11,,http://vietnamfinance.vn/lai-truoc-thue-nam-2017-cua-vingroup-tang-215-ty-sau-kiem-toan-dat-5655-ty-dong-20180411093633784.htm
HSC: Mức định giá VTVcab là cực kỳ cao và không có cơ sở,2018/04/11,,http://vietnamfinance.vn/hsc-muc-dinh-gia-vtvcab-la-cuc-ky-cao-va-khong-co-co-so-20180411083455904.htm
"ĐHĐCĐ Văn Phú Invest: Đã đảm bảo tài chính, không tăng vốn trong năm 2018",2018/04/10,,http://vietnamfinance.vn/dhdcd-van-phu-invest-da-dam-bao-tai-chinh-khong-tang-von-trong-nam-2018-20180410091639348.htm
"TS Nguyễn Trí Hiếu: Gửi tiền cho vợ cũng chưa chắc an toàn, nói gì ngân hàng!",2018/04/16,,http://vietnamfinance.vn/ts-nguyen-tri-hieu-gui-tien-cho-vo-cung-chua-chac-an-toan-noi-gi-ngan-hang-20180416070028994.htm
"HSBC Việt Nam báo lãi 2.231 tỷ năm 2017, thu nhập nhân viên gần 51 triệu đồng/tháng",2018/04/16,,http://vietnamfinance.vn/hsbc-viet-nam-bao-lai-2231-ty-nam-2017-thu-nhap-nhan-vien-gan-51-trieu-dongthang-20180416073258666.htm
"Website xuất hiện thơ chế, Vietcombank nói ‘do cán bộ kỹ thuật’",2018/04/14,,http://vietnamfinance.vn/website-xuat-hien-tho-che-vietcombank-noi-do-can-bo-ky-thuat-20180414162946806.htm
